Serial,Sighting_Number,Date,Observation_period,Observation_period_start_time,Observation_period_end_time,Sighting_duration,Time_of_walking_event,Walking_event_number,Individual_ID,Initiation_order,Displacement,Compass_bearing,Interaction_type,Aggressor_id,Aggression_type,Ba_males_present,Follower_response_delay,Stopping_order,End_activity,Notes
1746,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,7:54:56,1,01_006,1,20,115,passive,,,0,,1,G,
1747,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,7:56:14,2,01_006,1,4,115,passive,,,0,,1,G,
1748,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,7:57:25,3,01_006,1,4,115,passive,,,0,,1,G,
1749,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,7:57:25,3,01_008,2,2,115,passive,,,0,31,2,S,
1750,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:15:40,4,05_331,1,6,115,passive,,,0,,1,S,toward 01_006
1751,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:15:40,4,01_323,2,4,85,passive,,,0,50,2,S,
1752,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:17:20,5,01_323,1,15,115,passive,,,0,,1,D,toward 01_006
1753,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:17:20,5,05_037,2,15,115,passive,,,0,3,2,D,
1754,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:17:20,5,05_331,3,15,115,passive,,,0,7,4,S,
1755,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:17:20,5,01_011,4,15,115,passive,,,0,11,3,D,
1756,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:17:20,5,01_008,5,15,115,passive,,,0,19,5,D,
1757,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:18:40,6,01_006,1,3,115,passive,,,0,,1,S,
1758,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:18:40,6,01_323,2,4,115,passive,,,0,35,2,G,
1759,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:19:29,7,01_006,1,10,115,passive,,,0,,1,G,
1760,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:19:29,7,05_037,2,10,115,passive,,,0,1,2,W,
1761,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:19:29,7,01_323,3,10,115,passive,,,0,2,3,W,
1762,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:19:29,7,05_331,4,10,115,passive,,,0,3,4,W,
1763,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:20:20,8,05_037,1,20,115,passive,,,0,,1,G,
1764,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:20:20,8,01_323,2,20,115,passive,,,0,1,2,G,
1765,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:20:20,8,05_331,3,20,115,aggressive,05_331,physical contact,0,2,3,G,
1766,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:20:20,8,01_006,4,20,115,aggressive,05_331,physical contact,0,20,4,G,05_331 nudged 01_006 into W when it passed her
1767,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:20:20,8,01_008,5,20,115,passive,,,0,63,5,G,
1768,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:20:20,8,01_011,6,20,115,passive,,,0,67,6,G,
1769,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:22:39,9,01_006,1,20,115,passive,,,0,,1,G,next to 01_323
1770,01_008_1,3-Jul-06,1,7:45:00,12:53:00,5:08:00,8:23:44,10,01_323,1,30,115,passive,,,0,,1,G,
