Sighting_Number,Date,Harem_stallion,Harem_members,Age_class,Age_lumped,Sex,Reproductive_status,Harem_size,Location_of_drinking,Activity_after_drinking
01_560_1,2-Jul-06,01_560,01_560,Adult,Adult,M,Stallion,4,Ol Pejeta Dam,G
01_560_1,2-Jul-06,01_560,01_049,Adult,Adult,F,Non-lactating,4,Ol Pejeta Dam,G
01_560_1,2-Jul-06,01_560,01_067,Adult,Adult,F,Non-lactating,4,Ol Pejeta Dam,G
01_560_1,2-Jul-06,01_560,04_115,2-3yo,Juvenile,F,Yearling,4,Ol Pejeta Dam,G
01_008_1,3-Jul-06,01_008,01_008,Adult,Adult,M,Stallion,6,Ol Pejeta Dam,G
01_008_1,3-Jul-06,01_008,01_011,Adult,Adult,F,Non-lactating,6,Ol Pejeta Dam,G
01_008_1,3-Jul-06,01_008,01_323,Adult,Adult,F,Lactating,6,Ol Pejeta Dam,G
01_008_1,3-Jul-06,01_008,05_037,6-12,Juvenile,M,Foal,6,Ol Pejeta Dam,G
01_008_1,3-Jul-06,01_008,01_006,Adult,Adult,F,Lactating,6,Ol Pejeta Dam,G
01_008_1,3-Jul-06,01_008,05_331,3-6,Juvenile,F,Foal,6,Ol Pejeta Dam,G
01_347_1,4-Jul-06,01_347,01_347,Adult,Adult,M,Stallion,8,Zebra Plain trough,G
01_347_1,4-Jul-06,01_347,01_374,Adult,Adult,F,Lactating,8,Zebra Plain trough,G
01_347_1,4-Jul-06,01_347,06_301,0-3,Juvenile,F,Foal,8,Zebra Plain trough,G
01_347_1,4-Jul-06,01_347,03_058,Adult,Adult,F,Non-lactating,8,Zebra Plain trough,G
01_347_1,4-Jul-06,01_347,01_507,Adult,Adult,F,Non-lactating,8,Zebra Plain trough,G
01_347_1,4-Jul-06,01_347,01_140,Adult,Adult,F,Non-lactating,8,Zebra Plain trough,G
01_347_1,4-Jul-06,01_347,02_1140,Adult,Adult,F,Lactating,8,Zebra Plain trough,G
01_347_1,4-Jul-06,01_347,05_124,3-6,Juvenile,F,Foal,8,Zebra Plain trough,G
01_596_1,5-Jul-06,01_596,01_596,Adult,Adult,M,Stallion,5,Ol Pejeta Dam,G
01_596_1,5-Jul-06,01_596,02_1009,Adult,Adult,F,Non-lactating,5,Ol Pejeta Dam,G
01_596_1,5-Jul-06,01_596,01_516,Adult,Adult,F,Non-lactating,5,Ol Pejeta Dam,G
01_596_1,5-Jul-06,01_596,01_665,Adult,Adult,F,Non-lactating,5,Ol Pejeta Dam,G
01_596_1,5-Jul-06,01_596,01_758,Adult,Adult,F,Non-lactating,5,Ol Pejeta Dam,G
01_053_1,7-Jul-06,01_053,01_053,Adult,Adult,M,Stallion,4,Zebra Plain trough,G
01_053_1,7-Jul-06,01_053,01_400,Adult,Adult,F,Non-lactating,4,Zebra Plain trough,G
01_053_1,7-Jul-06,01_053,01_721,Adult,Adult,F,Lactating,4,Zebra Plain trough,G
01_053_1,7-Jul-06,01_053,06_400,0-3,Juvenile,M,Foal,4,Zebra Plain trough,G
01_356_1,8-Jul-06,01_356,01_356,Adult,Adult,M,Stallion,5,Morani trough,G
01_356_1,8-Jul-06,01_356,01_360,Adult,Adult,F,Non-lactating,5,Morani trough,G
01_356_1,8-Jul-06,01_356,01_365,Adult,Adult,F,Lactating,5,Morani trough,G
01_356_1,8-Jul-06,01_356,05_127,6-12,Juvenile,M,Foal,5,Morani trough,G
01_356_1,8-Jul-06,01_356,01_364,Adult,Adult,F,Non-lactating,5,Morani trough,G
