serial,Sightingno,Leadership_No,IndividualID,Order_initiation,Date,Time,Lead_activity,Clock,Distance_moved,Delay,Car_Bearing,Cause,Leadership_Remarks,End_Activity,Lead_type,Initial_Travel_Order,Final_Order,Success,Harem_ct,Ageclass,status,Grass_Height,Grass_Color,Bush_Type,gps_x,gps_y,Harem_size,Activity_Type_3,Activity_Type_2,Sighting_Duration,Sex
1,hl1,1,01_522,1,6/28/05,8:25,Walking,0,20,0,0,Graze,,Grazing,Pull,0,0,No,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
2,hl1,2,01_522,1,6/28/05,8:26,Walking,0,0,0,0,,,,Pull,1,1,No,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
3,hl1,3,01_327,1,6/28/05,8:45,Walking,0,12,0,0,,,,Pull,1,1,Yes,0,Adult,Stallion,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,M
4,hl1,3,02_1138,2,6/28/05,8:45,Walking,0,12,30,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
5,hl1,3,01_069,3,6/28/05,8:45,Walking,0,12,30,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
6,hl1,3,01_147,4,6/28/05,8:45,Walking,0,0,80,0,,,,Pull,4,4,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
7,hl1,3,01_522,5,6/28/05,8:45,Walking,0,0,80,0,,,,Pull,5,5,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
8,hl1,4,01_327,1,6/28/05,8:45,Walking,0,0,0,0,,,,Pull,1,1,Partial,0,Adult,Stallion,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,M
9,hl1,4,02_1138,2,6/28/05,8:45,Walking,0,0,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
10,hl1,4,01_069,3,6/28/05,8:45,Walking,0,0,0,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
11,hl1,5,01_327,1,6/28/05,8:49,Walking,0,0,0,0,,,,Pull,1,1,Yes,0,Adult,Stallion,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,M
12,hl1,5,01_069,2,6/28/05,8:49,Walking,0,10,5,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
13,hl1,5,01_522,3,6/28/05,8:49,Walking,0,0,20,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
14,hl1,5,02_1138,4,6/28/05,8:49,Walking,0,0,90,0,,,,Pull,4,4,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
15,hl1,5,01_147,5,6/28/05,8:49,Walking,0,0,90,0,,,,Pull,5,5,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
16,hl1,6,01_147,1,6/28/05,9:44,Walking,0,8,0,0,,,,Pull,1,1,Partial,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
17,hl1,6,01_069,2,6/28/05,9:44,Walking,0,8,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
18,hl1,6,02_1138,3,6/28/05,9:44,Walking,0,8,30,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
19,hl1,7,01_069,1,6/28/05,10:06,Walking,0,0,0,0,,,,Pull,1,1,Yes,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
20,hl1,7,01_147,2,6/28/05,10:06,Walking,0,0,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
21,hl1,7,02_1138,3,6/28/05,10:06,Walking,0,0,0,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
22,hl1,7,01_327,4,6/28/05,10:06,Walking,0,0,25,0,,,,Pull,4,4,,0,Adult,Stallion,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,M
23,hl1,7,01_522,5,6/28/05,10:06,Walking,0,0,30,0,,,,Pull,5,5,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
24,hl1,8,01_069,1,6/28/05,10:06,Stopping,0,0,0,0,,,,Pull,1,1,No,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Stopping,Non-Movement,2.12,F
25,hl1,9,01_522,1,6/28/05,10:32,Walking,0,0,0,0,,,,Pull,1,1,Yes,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
26,hl1,9,01_069,2,6/28/05,10:32,Walking,0,0,0,0,,,,Pull,2,2,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
27,hl1,9,01_147,3,6/28/05,10:32,Walking,0,0,20,0,,,,Pull,3,3,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
28,hl1,9,02_1138,4,6/28/05,10:32,Walking,0,0,80,0,,,,Pull,4,4,,0,Adult,Non-lactating,less hk,BG,OG,272758,3409,5,Movement,Movement,2.12,F
29,hl2,1,01_106,1,7/3/05,8:54,Walking,0,26,0,0,,,,Pull,1,1,Partial,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
30,hl2,1,02_988,2,7/3/05,8:54,Walking,0,0,0,0,,,,Pull,2,2,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
31,hl2,1,01_045,3,7/3/05,8:54,Walking,0,0,0,0,,,,Pull,3,3,,4,Adult,Non-lactating,less hk,B,OG,273255,3340,4,Movement,Movement,1.92,F
